@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
56,9,0,149,56,0.726829,1,0.056962,1,0.943038,0.107784,0.738318,1.35443,0
57,9,0,148,57,0.721951,1,0.057325,1,0.942675,0.108434,0.733645,1.363057,0
58,9,0,147,58,0.717073,1,0.057692,1,0.942308,0.109091,0.728972,1.371795,0
59,9,0,146,59,0.712195,1,0.058065,1,0.941935,0.109756,0.724299,1.380645,0
60,9,0,145,60,0.707317,1,0.058442,1,0.941558,0.110429,0.719626,1.38961,0
61,9,0,144,61,0.702439,1,0.058824,1,0.941176,0.111111,0.714953,1.398693,0
62,9,0,143,62,0.697561,1,0.059211,1,0.940789,0.111801,0.71028,1.407895,0
63,9,0,142,63,0.692683,1,0.059603,1,0.940397,0.1125,0.705607,1.417219,0
64,9,0,141,64,0.687805,1,0.06,1,0.94,0.113208,0.700935,1.426667,0
65,9,0,140,65,0.682927,1,0.060403,1,0.939597,0.113924,0.696262,1.436242,0
66,9,0,139,66,0.678049,1,0.060811,1,0.939189,0.11465,0.691589,1.445946,0
67,9,0,138,67,0.673171,1,0.061224,1,0.938776,0.115385,0.686916,1.455782,0
68,9,0,137,68,0.668293,1,0.061644,1,0.938356,0.116129,0.682243,1.465753,0
69,9,0,136,69,0.663415,1,0.062069,1,0.937931,0.116883,0.67757,1.475862,0
70,9,0,135,70,0.658537,1,0.0625,1,0.9375,0.117647,0.672897,1.486111,0
71,9,0,134,71,0.653659,1,0.062937,1,0.937063,0.118421,0.668224,1.496503,0
72,9,0,133,72,0.64878,1,0.06338,1,0.93662,0.119205,0.663551,1.507042,0
73,9,0,132,73,0.643902,1,0.06383,1,0.93617,0.12,0.658879,1.51773,0
74,9,0,131,74,0.639024,1,0.064286,1,0.935714,0.120805,0.654206,1.528571,0
75,9,0,130,75,0.634146,1,0.064748,1,0.935252,0.121622,0.649533,1.539568,0
76,9,0,129,76,0.629268,1,0.065217,1,0.934783,0.122449,0.64486,1.550725,0
77,9,0,128,77,0.62439,1,0.065693,1,0.934307,0.123288,0.640187,1.562044,0
78,9,0,127,78,0.619512,1,0.066176,1,0.933824,0.124138,0.635514,1.573529,0
79,9,0,126,79,0.614634,1,0.066667,1,0.933333,0.125,0.630841,1.585185,0
80,9,0,125,80,0.609756,1,0.067164,1,0.932836,0.125874,0.626168,1.597015,0
81,9,0,124,81,0.604878,1,0.067669,1,0.932331,0.126761,0.621495,1.609023,0
82,9,0,123,82,0.6,1,0.068182,1,0.931818,0.12766,0.616822,1.621212,0
83,9,0,122,83,0.595122,1,0.068702,1,0.931298,0.128571,0.61215,1.633588,0
84,9,0,121,84,0.590244,1,0.069231,1,0.930769,0.129496,0.607477,1.646154,0
85,9,0,120,85,0.585366,1,0.069767,1,0.930233,0.130435,0.602804,1.658915,0
86,9,0,119,86,0.580488,1,0.070313,1,0.929688,0.131387,0.598131,1.671875,0
87,9,0,118,87,0.57561,1,0.070866,1,0.929134,0.132353,0.593458,1.685039,0
88,9,0,117,88,0.570732,1,0.071429,1,0.928571,0.133333,0.588785,1.698413,0
89,9,0,116,89,0.565854,1,0.072,1,0.928,0.134328,0.584112,1.712,0
90,9,0,115,90,0.560976,1,0.072581,1,0.927419,0.135338,0.579439,1.725806,0
91,9,0,114,91,0.556098,1,0.073171,1,0.926829,0.136364,0.574766,1.739837,0
92,9,0,113,92,0.55122,1,0.07377,1,0.92623,0.137405,0.570093,1.754098,0
93,9,0,112,93,0.546341,1,0.07438,1,0.92562,0.138462,0.565421,1.768595,0
94,9,0,111,94,0.541463,1,0.075,1,0.925,0.139535,0.560748,1.783333,0
95,9,0,110,95,0.536585,1,0.07563,1,0.92437,0.140625,0.556075,1.798319,0
96,9,0,109,96,0.531707,1,0.076271,1,0.923729,0.141732,0.551402,1.813559,0
97,9,0,108,97,0.526829,1,0.076923,1,0.923077,0.142857,0.546729,1.82906,0
98,9,0,107,98,0.521951,1,0.077586,1,0.922414,0.144,0.542056,1.844828,0
99,9,0,106,99,0.517073,1,0.078261,1,0.921739,0.145161,0.537383,1.86087,0
100,9,0,105,100,0.512195,1,0.078947,1,0.921053,0.146341,0.53271,1.877193,0
101,9,0,104,101,0.507317,1,0.079646,1,0.920354,0.147541,0.528037,1.893805,0
102,9,0,103,102,0.502439,1,0.080357,1,0.919643,0.14876,0.523364,1.910714,0
103,9,0,102,103,0.497561,1,0.081081,1,0.918919,0.15,0.518692,1.927928,0
104,9,0,101,104,0.492683,1,0.081818,1,0.918182,0.151261,0.514019,1.945455,0
105,9,0,100,105,0.487805,1,0.082569,1,0.917431,0.152542,0.509346,1.963303,0
106,9,0,99,106,0.482927,1,0.083333,1,0.916667,0.153846,0.504673,1.981481,0
107,9,0,98,107,0.478049,1,0.084112,1,0.915888,0.155172,0.5,2,0
108,9,0,97,108,0.473171,1,0.084906,1,0.915094,0.156522,0.495327,2.018868,0
109,9,0,96,109,0.468293,1,0.085714,1,0.914286,0.157895,0.490654,2.038095,0
110,9,0,95,110,0.463415,1,0.086538,1,0.913462,0.159292,0.485981,2.057692,0
111,9,0,94,111,0.458537,1,0.087379,1,0.912621,0.160714,0.481308,2.07767,0
112,9,0,93,112,0.453659,1,0.088235,1,0.911765,0.162162,0.476636,2.098039,0
113,9,0,92,113,0.44878,1,0.089109,1,0.910891,0.163636,0.471963,2.118812,0
114,9,0,91,114,0.443902,1,0.09,1,0.91,0.165138,0.46729,2.14,0
115,9,0,90,115,0.439024,1,0.090909,1,0.909091,0.166667,0.462617,2.161616,0
116,9,0,89,116,0.434146,1,0.091837,1,0.908163,0.168224,0.457944,2.183673,0
117,9,0,88,117,0.429268,1,0.092784,1,0.907216,0.169811,0.453271,2.206186,0
118,9,0,87,118,0.42439,1,0.09375,1,0.90625,0.171429,0.448598,2.229167,0
119,9,0,86,119,0.419512,1,0.094737,1,0.905263,0.173077,0.443925,2.252632,0
120,9,0,85,120,0.414634,1,0.095745,1,0.904255,0.174757,0.439252,2.276596,0
121,9,0,84,121,0.409756,1,0.096774,1,0.903226,0.176471,0.434579,2.301075,0
122,9,0,83,122,0.404878,1,0.097826,1,0.902174,0.178218,0.429907,2.326087,0
123,9,0,82,123,0.4,1,0.098901,1,0.901099,0.18,0.425234,2.351648,0
