@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
58,12,1,144,57,0.716418,0.923077,0.076923,0.923077,0.923077,0.142012,0.728972,1.266272,0
59,12,1,143,58,0.711443,0.923077,0.077419,0.923077,0.922581,0.142857,0.724299,1.274442,0
60,12,1,142,59,0.706468,0.923077,0.077922,0.923077,0.922078,0.143713,0.719626,1.282717,0
61,12,1,141,60,0.701493,0.923077,0.078431,0.923077,0.921569,0.144578,0.714953,1.291101,0
62,12,1,140,61,0.696517,0.923077,0.078947,0.923077,0.921053,0.145455,0.71028,1.299595,0
63,12,1,139,62,0.691542,0.923077,0.07947,0.923077,0.92053,0.146341,0.705607,1.308202,0
64,12,1,138,63,0.686567,0.923077,0.08,0.923077,0.92,0.147239,0.700935,1.316923,0
65,12,1,137,64,0.681592,0.923077,0.080537,0.923077,0.919463,0.148148,0.696262,1.325761,0
66,12,1,136,65,0.676617,0.923077,0.081081,0.923077,0.918919,0.149068,0.691589,1.334719,0
67,12,1,135,66,0.671642,0.923077,0.081633,0.923077,0.918367,0.15,0.686916,1.343799,0
68,12,1,134,67,0.666667,0.923077,0.082192,0.923077,0.917808,0.150943,0.682243,1.353003,0
69,12,1,133,68,0.661692,0.923077,0.082759,0.923077,0.917241,0.151899,0.67757,1.362334,0
70,12,1,132,69,0.656716,0.923077,0.083333,0.923077,0.916667,0.152866,0.672897,1.371795,0
71,12,1,131,70,0.651741,0.923077,0.083916,0.923077,0.916084,0.153846,0.668224,1.381388,0
72,12,1,130,71,0.646766,0.923077,0.084507,0.923077,0.915493,0.154839,0.663551,1.391116,0
73,12,1,129,72,0.641791,0.923077,0.085106,0.923077,0.914894,0.155844,0.658879,1.400982,0
74,12,1,128,73,0.636816,0.923077,0.085714,0.923077,0.914286,0.156863,0.654206,1.410989,0
75,12,1,127,74,0.631841,0.923077,0.086331,0.923077,0.913669,0.157895,0.649533,1.42114,0
76,12,1,126,75,0.626866,0.923077,0.086957,0.923077,0.913043,0.15894,0.64486,1.431438,0
77,12,1,125,76,0.621891,0.923077,0.087591,0.923077,0.912409,0.16,0.640187,1.441887,0
78,12,1,124,77,0.616915,0.923077,0.088235,0.923077,0.911765,0.161074,0.635514,1.452489,0.000001
79,12,1,123,78,0.61194,0.923077,0.088889,0.923077,0.911111,0.162162,0.630841,1.463248,0.000001
80,12,1,122,79,0.606965,0.923077,0.089552,0.923077,0.910448,0.163265,0.626168,1.474168,0.000001
81,12,1,121,80,0.60199,0.923077,0.090226,0.923077,0.909774,0.164384,0.621495,1.485252,0.000001
82,12,1,120,81,0.597015,0.923077,0.090909,0.923077,0.909091,0.165517,0.616822,1.496503,0.000001
83,12,1,119,82,0.59204,0.923077,0.091603,0.923077,0.908397,0.166667,0.61215,1.507927,0.000001
84,12,1,118,83,0.587065,0.923077,0.092308,0.923077,0.907692,0.167832,0.607477,1.519527,0.000001
85,12,1,117,84,0.58209,0.923077,0.093023,0.923077,0.906977,0.169014,0.602804,1.531306,0.000001
86,12,1,116,85,0.577114,0.923077,0.09375,0.923077,0.90625,0.170213,0.598131,1.543269,0.000001
87,12,1,115,86,0.572139,0.923077,0.094488,0.923077,0.905512,0.171429,0.593458,1.555421,0.000001
88,12,1,114,87,0.567164,0.923077,0.095238,0.923077,0.904762,0.172662,0.588785,1.567766,0.000001
89,12,1,113,88,0.562189,0.923077,0.096,0.923077,0.904,0.173913,0.584112,1.580308,0.000001
