@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
60,69,1,85,59,0.590278,0.985714,0.448052,0.985714,0.551948,0.616071,0.719626,1.369759,0
61,69,1,84,60,0.583333,0.985714,0.45098,0.985714,0.54902,0.618834,0.714953,1.378711,0.000004
62,69,1,83,61,0.576389,0.985714,0.453947,0.985714,0.546053,0.621622,0.71028,1.387782,0.000005
63,69,1,82,62,0.569444,0.985714,0.456954,0.985714,0.543046,0.624434,0.705607,1.396973,0.000045
64,69,1,81,63,0.5625,0.985714,0.46,0.985714,0.54,0.627273,0.700935,1.406286,0.000079
65,69,1,80,64,0.555556,0.985714,0.463087,0.985714,0.536913,0.630137,0.696262,1.415724,0.001658
66,69,1,79,65,0.548611,0.985714,0.466216,0.985714,0.533784,0.633028,0.691589,1.42529,0.001785
67,68,2,79,65,0.548611,0.971429,0.462585,0.971429,0.537415,0.626728,0.686916,1.414189,0.004302
68,68,2,78,66,0.541667,0.971429,0.465753,0.971429,0.534247,0.62963,0.682243,1.423875,0.00679
69,67,3,78,66,0.541667,0.957143,0.462069,0.957143,0.537931,0.623256,0.67757,1.412611,0.016405
70,67,3,77,67,0.534722,0.957143,0.465278,0.957143,0.534722,0.626168,0.672897,1.422421,0.02543
71,67,3,76,68,0.527778,0.957143,0.468531,0.957143,0.531469,0.629108,0.668224,1.432368,0.02611
72,66,4,76,68,0.527778,0.942857,0.464789,0.942857,0.535211,0.622642,0.663551,1.420926,0.027413
73,65,5,76,68,0.527778,0.928571,0.460993,0.928571,0.539007,0.616114,0.658879,1.409321,0.033164
74,65,5,75,69,0.520833,0.928571,0.464286,0.928571,0.535714,0.619048,0.654206,1.419388,0.049676
75,64,6,75,69,0.520833,0.914286,0.460432,0.914286,0.539568,0.61244,0.649533,1.407605,0.120078
76,63,7,75,69,0.520833,0.9,0.456522,0.9,0.543478,0.605769,0.64486,1.395652,0.132178
77,62,8,75,69,0.520833,0.885714,0.452555,0.885714,0.547445,0.599034,0.640187,1.383525,0.138003
78,62,8,74,70,0.513889,0.885714,0.455882,0.885714,0.544118,0.601942,0.635514,1.393697,0.170652
79,61,9,74,70,0.513889,0.871429,0.451852,0.871429,0.548148,0.595122,0.630841,1.381376,0.179572
80,61,9,73,71,0.506944,0.871429,0.455224,0.871429,0.544776,0.598039,0.626168,1.391684,0.212477
81,60,10,73,71,0.506944,0.857143,0.451128,0.857143,0.548872,0.591133,0.621495,1.379162,0.221867
82,60,10,72,72,0.5,0.857143,0.454545,0.857143,0.545455,0.594059,0.616822,1.38961,0.224897
83,59,11,72,72,0.5,0.842857,0.450382,0.842857,0.549618,0.587065,0.61215,1.376881,0.224916
84,59,11,71,73,0.493056,0.842857,0.453846,0.842857,0.546154,0.59,0.607477,1.387473,0.276799
85,58,12,71,73,0.493056,0.828571,0.449612,0.828571,0.550388,0.582915,0.602804,1.374529,0.291566
86,57,13,71,73,0.493056,0.814286,0.445313,0.814286,0.554688,0.575758,0.598131,1.361384,0.294102
87,57,13,70,74,0.486111,0.814286,0.448819,0.814286,0.551181,0.57868,0.593458,1.372103,0.34243
88,57,13,69,75,0.479167,0.814286,0.452381,0.814286,0.547619,0.581633,0.588785,1.382993,0.358663
89,56,14,69,75,0.479167,0.8,0.448,0.8,0.552,0.574359,0.584112,1.3696,0.372511
90,56,14,68,76,0.472222,0.8,0.451613,0.8,0.548387,0.57732,0.579439,1.380645,0.382852
91,56,14,67,77,0.465278,0.8,0.455285,0.8,0.544715,0.580311,0.574766,1.39187,0.404784
92,56,14,66,78,0.458333,0.8,0.459016,0.8,0.540984,0.583333,0.570093,1.403279,0.412749
93,56,14,65,79,0.451389,0.8,0.46281,0.8,0.53719,0.586387,0.565421,1.414876,0.41578
94,56,14,64,80,0.444444,0.8,0.466667,0.8,0.533333,0.589474,0.560748,1.426667,0.420464
95,55,15,64,80,0.444444,0.785714,0.462185,0.785714,0.537815,0.582011,0.556075,1.412965,0.422893
96,55,15,63,81,0.4375,0.785714,0.466102,0.785714,0.533898,0.585106,0.551402,1.424939,0.441299
97,54,16,63,81,0.4375,0.771429,0.461538,0.771429,0.538462,0.57754,0.546729,1.410989,0.442996
98,54,16,62,82,0.430556,0.771429,0.465517,0.771429,0.534483,0.580645,0.542056,1.423153,0.443725
99,53,17,62,82,0.430556,0.757143,0.46087,0.757143,0.53913,0.572973,0.537383,1.408944,0.452502
100,53,17,61,83,0.423611,0.757143,0.464912,0.757143,0.535088,0.576087,0.53271,1.421303,0.466482
101,53,17,60,84,0.416667,0.757143,0.469027,0.757143,0.530973,0.579235,0.528037,1.433881,0.472182
102,52,18,60,84,0.416667,0.742857,0.464286,0.742857,0.535714,0.571429,0.523364,1.419388,0.477363
103,51,19,60,84,0.416667,0.728571,0.459459,0.728571,0.540541,0.563536,0.518692,1.404633,0.498447
104,50,20,60,84,0.416667,0.714286,0.454545,0.714286,0.545455,0.555556,0.514019,1.38961,0.514386
105,50,20,59,85,0.409722,0.714286,0.458716,0.714286,0.541284,0.558659,0.509346,1.402359,0.516997
106,50,20,58,86,0.402778,0.714286,0.462963,0.714286,0.537037,0.561798,0.504673,1.415344,0.517983
107,49,21,58,86,0.402778,0.7,0.457944,0.7,0.542056,0.553672,0.5,1.4,0.530752
108,48,22,58,86,0.402778,0.685714,0.45283,0.685714,0.54717,0.545455,0.495327,1.384367,0.533832
109,47,23,58,86,0.402778,0.671429,0.447619,0.671429,0.552381,0.537143,0.490654,1.368435,0.540258
110,47,23,57,87,0.395833,0.671429,0.451923,0.671429,0.548077,0.54023,0.485981,1.381593,0.541654
111,47,23,56,88,0.388889,0.671429,0.456311,0.671429,0.543689,0.543353,0.481308,1.395007,0.543863
112,46,24,56,88,0.388889,0.657143,0.45098,0.657143,0.54902,0.534884,0.476636,1.378711,0.54476
113,45,25,56,88,0.388889,0.642857,0.445545,0.642857,0.554455,0.526316,0.471963,1.362093,0.548018
114,45,25,55,89,0.381944,0.642857,0.45,0.642857,0.55,0.529412,0.46729,1.375714,0.561866
115,45,25,54,90,0.375,0.642857,0.454545,0.642857,0.545455,0.532544,0.462617,1.38961,0.563767
116,44,26,54,90,0.375,0.628571,0.44898,0.628571,0.55102,0.52381,0.457944,1.372595,0.567806
117,43,27,54,90,0.375,0.614286,0.443299,0.614286,0.556701,0.51497,0.453271,1.355228,0.57072
118,43,27,53,91,0.368056,0.614286,0.447917,0.614286,0.552083,0.518072,0.448598,1.369345,0.572302
119,43,27,52,92,0.361111,0.614286,0.452632,0.614286,0.547368,0.521212,0.443925,1.383759,0.580093
120,42,28,52,92,0.361111,0.6,0.446809,0.6,0.553191,0.512195,0.439252,1.365957,0.580531
121,42,28,51,93,0.354167,0.6,0.451613,0.6,0.548387,0.515337,0.434579,1.380645,0.5809
